Id	Ref_Name	Language_Type	Part2B	Part2T	Part1	Scope			Comment
aaa	Ghotuo	L				I			
aab	Alumu-Tesu	L				I			
aac	Ari	L				I			
aad	Amal	L				I			
aae	Arbëreshë Albanian	L				I			
aaf	Aranadan	L				I			
aag	Ambrak	L				I			
aah	Abu' Arapesh	L				I			
aai	Arifama-Miniafia	L				I			
aak	Ankave	L				I			
aal	Afade	L				I			
aan	Anambé	L				I			
aao	Algerian Saharan Arabic	L				I			
aap	Pará Arára	L				I			
aaq	Eastern Abnaki	E				I			
aar	Afar	L	aar	aar	aa	I			
aas	Aasáx	L				I			
aat	Arvanitika Albanian	L				I			
aau	Abau	L				I			
aaw	Solong	L				I			
aax	Mandobo Atas	L				I			
aaz	Amarasi	L				I			
aba	Abé	L				I			
abb	Bankon	L				I			
abc	Ambala Ayta	L				I			
abd	Manide	L				I			
abe	Western Abnaki	L				I			
abf	Abai Sungai	L				I			
abg	Abaga	L				I			
abh	Tajiki Arabic	L				I			
abi	Abidji	L				I			
abj	Aka-Bea	E				I			
abk	Abkhazian	L	abk	abk	ab	I			
abl	Lampung Nyo	L				I			
abm	Abanyom	L				I			
abn	Abua	L				I			
abo	Abon	L				I			
abp	Abellen Ayta	L				I			
abq	Abaza	L				I			
abr	Abron	L				I			
abs	Ambonese Malay	L				I			
abt	Ambulas	L				I			
abu	Abure	L				I			
abv	Baharna Arabic	L				I			
abw	Pal	L				I			
abx	Inabaknon	L				I			
aby	Aneme Wake	L				I			
abz	Abui	L				I			
aca	Achagua	L				I			
acb	Áncá	L				I			
acd	Gikyode	L				I			
ace	Achinese	L	ace	ace		I			
acf	Saint Lucian Creole French	L				I			
ach	Acoli	L	ach	ach		I			
aci	Aka-Cari	E				I			
ack	Aka-Kora	E				I			
acl	Akar-Bale	E				I			
acm	Mesopotamian Arabic	L				I			
acn	Achang	L				I			
acp	Eastern Acipa	L				I			
acq	Ta'izzi-Adeni Arabic	L				I			
acr	Achi	L				I			
acs	Acroá	E				I			
act	Achterhoeks	L				I			
acu	Achuar-Shiwiar	L				I			
acv	Achumawi	L				I			
acw	Hijazi Arabic	L				I			
acx	Omani Arabic	L				I			
acy	Cypriot Arabic	L				I			
acz	Acheron	L				I			
ada	Adangme	L	ada	ada		I			
adb	Atauran	L				I			
add	Lidzonka	L				I			
ade	Adele	L				I			
